INTAGE,TABBLKST,TABBLKCOU,TABTRACTCE,TABBLKGRPCE,TABBLK,RTYPE,GQTYPE_PL,VOTING_AGE,CENHISP,CENRACE,GEOID10
20210608_P,39,059,977100,1,1000,3,0,1,1,1,390599771001000
20210608_P,39,059,977100,1,1000,3,0,1,1,1,390599771001000
20210608_P,39,059,977100,1,1000,3,0,2,2,1,390599771001000
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,1,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
20210608_P,39,059,977100,1,1005,3,0,2,1,1,390599771001005
